timestamp,lag,wait_ms
2025-11-20 13:21:38.943,0,18
2025-11-20 13:21:38.943,0,18
2025-11-20 13:21:38.944,0,18
2025-11-20 13:21:38.944,0,18
2025-11-20 13:21:38.944,0,19
2025-11-20 13:21:38.944,0,19
2025-11-20 13:21:38.945,0,19
2025-11-20 13:21:38.945,0,19
2025-11-20 13:21:40.001,10,1076
2025-11-20 13:21:40.001,10,1076
2025-11-20 13:21:41.709,10,5
2025-11-20 13:21:41.713,10,9
2025-11-20 13:21:41.713,10,8
2025-11-20 13:21:41.713,10,7
2025-11-20 13:21:41.714,10,6
2025-11-20 13:21:41.714,10,6
2025-11-20 13:21:41.714,10,7
2025-11-20 13:21:41.714,10,7
2025-11-20 13:21:43.001,10,1294
2025-11-20 13:21:43.002,10,1294
2025-11-20 13:21:45.884,0,3
2025-11-20 13:21:45.888,10,6
2025-11-20 13:21:45.888,10,6
2025-11-20 13:21:45.889,10,6
2025-11-20 13:21:45.889,10,6
2025-11-20 13:21:45.890,10,7
2025-11-20 13:21:45.890,10,8
2025-11-20 13:21:45.890,10,8
2025-11-20 13:21:47.000,10,1118
2025-11-20 13:21:47.000,10,1117
2025-11-20 13:21:50.050,0,3
2025-11-20 13:21:50.051,0,3
2025-11-20 13:21:50.051,0,3
2025-11-20 13:21:50.052,0,3
2025-11-20 13:21:50.054,0,5
2025-11-20 13:21:50.055,0,5
2025-11-20 13:21:50.055,0,4
2025-11-20 13:21:50.056,0,4
2025-11-20 13:21:51.001,0,950
2025-11-20 13:21:51.002,0,950
2025-11-20 13:21:51.465,0,4
2025-11-20 13:21:51.466,0,4
2025-11-20 13:21:51.467,15,4
2025-11-20 13:21:51.467,15,3
2025-11-20 13:21:51.468,15,4
2025-11-20 13:21:51.470,10,6
2025-11-20 13:21:51.471,10,6
2025-11-20 13:21:51.471,10,6
2025-11-20 13:21:53.001,10,1537
2025-11-20 13:21:53.002,10,1537
2025-11-20 13:21:57.045,0,3
2025-11-20 13:21:57.047,0,4
2025-11-20 13:21:57.047,0,4
2025-11-20 13:21:57.048,0,4
2025-11-20 13:21:57.048,0,4
2025-11-20 13:21:57.049,0,5
2025-11-20 13:21:57.049,0,5
2025-11-20 13:21:57.050,0,6
2025-11-20 13:21:58.001,0,958
2025-11-20 13:21:58.001,0,958
2025-11-20 13:22:02.589,0,3
2025-11-20 13:22:02.591,0,5
2025-11-20 13:22:02.591,0,4
2025-11-20 13:22:02.591,0,4
2025-11-20 13:22:02.591,10,4
2025-11-20 13:22:02.591,10,4
2025-11-20 13:22:02.592,10,4
2025-11-20 13:22:02.592,10,4
2025-11-20 13:22:04.001,10,1414
2025-11-20 13:22:04.002,10,1414
2025-11-20 13:22:08.152,0,2
2025-11-20 13:22:08.153,0,3
2025-11-20 13:22:08.154,0,2
2025-11-20 13:22:08.154,0,2
2025-11-20 13:22:08.156,0,5
2025-11-20 13:22:08.157,0,5
2025-11-20 13:22:08.157,0,5
2025-11-20 13:22:08.157,0,6
2025-11-20 13:22:09.000,0,849
2025-11-20 13:22:09.001,0,849
2025-11-20 13:22:10.951,0,2
2025-11-20 13:22:10.953,0,4
2025-11-20 13:22:10.953,0,3
2025-11-20 13:22:10.953,0,3
2025-11-20 13:22:10.953,0,3
2025-11-20 13:22:10.958,0,7
2025-11-20 13:22:10.958,0,7
2025-11-20 13:22:10.959,0,6
2025-11-20 13:22:12.000,5,1047
2025-11-20 13:22:12.001,5,1047
2025-11-20 13:22:16.512,0,2
2025-11-20 13:22:16.515,5,5
2025-11-20 13:22:16.515,5,4
2025-11-20 13:22:16.516,5,4
2025-11-20 13:22:16.516,5,4
2025-11-20 13:22:16.517,5,5
2025-11-20 13:22:16.517,5,5
2025-11-20 13:22:16.517,5,5
2025-11-20 13:22:18.001,7,1489
2025-11-20 13:22:18.002,7,1488
2025-11-20 13:22:18.002,7,62
2025-11-20 13:22:18.003,7,63
2025-11-20 13:22:18.003,7,62
2025-11-20 13:22:18.003,7,62
2025-11-20 13:22:18.003,7,62
2025-11-20 13:22:18.004,7,61
2025-11-20 13:22:19.001,7,1059
2025-11-20 13:22:19.002,7,1058
2025-11-20 13:22:19.002,7,1058
2025-11-20 13:22:19.002,7,1059
2025-11-20 13:22:20.685,0,2
2025-11-20 13:22:20.687,0,3
2025-11-20 13:22:20.687,0,3
2025-11-20 13:22:20.687,0,3
2025-11-20 13:22:20.688,0,3
2025-11-20 13:22:20.688,0,3
2025-11-20 13:22:20.688,0,2
2025-11-20 13:22:20.690,0,3
2025-11-20 13:22:22.000,0,1313
2025-11-20 13:22:22.001,0,1312
2025-11-20 13:22:22.113,0,2
2025-11-20 13:22:22.117,0,5
2025-11-20 13:22:22.117,0,5
2025-11-20 13:22:22.118,12,4
2025-11-20 13:22:22.118,12,4
2025-11-20 13:22:22.118,12,4
2025-11-20 13:22:23.000,12,886
2025-11-20 13:22:23.000,12,886
2025-11-20 13:22:23.001,12,886
2025-11-20 13:22:23.001,12,886
2025-11-20 13:22:24.885,9,2
2025-11-20 13:22:24.890,9,7
2025-11-20 13:22:24.890,9,6
2025-11-20 13:22:24.891,9,6
2025-11-20 13:22:24.891,9,7
2025-11-20 13:22:24.891,9,6
2025-11-20 13:22:24.892,9,5
2025-11-20 13:22:24.893,10,4
2025-11-20 13:22:26.001,9,1114
2025-11-20 13:22:26.001,9,1114
2025-11-20 13:22:27.678,2,3
2025-11-20 13:22:27.679,2,4
2025-11-20 13:22:27.679,2,3
2025-11-20 13:22:27.680,2,3
2025-11-20 13:22:27.680,7,2
2025-11-20 13:22:27.682,8,5
2025-11-20 13:22:27.682,8,4
2025-11-20 13:22:27.683,8,4
2025-11-20 13:22:29.000,8,1321
2025-11-20 13:22:29.000,8,1321
2025-11-20 13:22:30.452,2,3
2025-11-20 13:22:30.458,2,8
2025-11-20 13:22:30.458,2,8
2025-11-20 13:22:30.458,2,7
2025-11-20 13:22:30.459,2,7
2025-11-20 13:22:30.459,2,7
2025-11-20 13:22:30.459,2,8
2025-11-20 13:22:30.460,2,8
2025-11-20 13:22:32.001,12,1550
2025-11-20 13:22:32.001,12,1550
2025-11-20 13:22:32.001,12,140
2025-11-20 13:22:32.002,12,140
2025-11-20 13:22:32.002,12,140
2025-11-20 13:22:32.002,12,140
2025-11-20 13:22:32.002,12,140
2025-11-20 13:22:32.003,12,139
2025-11-20 13:22:33.001,12,1138
2025-11-20 13:22:33.002,12,1138
2025-11-20 13:22:33.002,12,1138
2025-11-20 13:22:33.002,12,1139
2025-11-20 13:22:34.639,0,3
2025-11-20 13:22:34.641,0,4
2025-11-20 13:22:34.641,0,4
2025-11-20 13:22:34.641,0,3
2025-11-20 13:22:34.643,4,5
2025-11-20 13:22:34.644,4,4
2025-11-20 13:22:34.644,4,4
2025-11-20 13:22:34.644,4,4
2025-11-20 13:22:36.000,2,1360
2025-11-20 13:22:36.001,2,1360
2025-11-20 13:22:37.426,2,2
2025-11-20 13:22:37.431,1,6
2025-11-20 13:22:37.431,1,6
2025-11-20 13:22:37.431,1,5
2025-11-20 13:22:37.431,1,5
2025-11-20 13:22:37.432,1,5
2025-11-20 13:22:37.432,9,5
2025-11-20 13:22:37.433,9,6
2025-11-20 13:22:39.000,2,1574
2025-11-20 13:22:39.001,2,1574
2025-11-20 13:22:40.199,2,3
2025-11-20 13:22:40.203,1,6
2025-11-20 13:22:40.203,1,6
2025-11-20 13:22:40.204,1,5
2025-11-20 13:22:40.204,1,5
2025-11-20 13:22:40.204,1,5
2025-11-20 13:22:40.205,1,5
2025-11-20 13:22:40.205,1,4
2025-11-20 13:22:41.000,1,800
2025-11-20 13:22:41.000,1,800
2025-11-20 13:22:41.611,1,4
2025-11-20 13:22:41.613,1,5
2025-11-20 13:22:41.613,1,4
2025-11-20 13:22:41.613,14,4
2025-11-20 13:22:41.613,14,3
2025-11-20 13:22:41.616,10,6
2025-11-20 13:22:41.616,10,6
2025-11-20 13:22:41.616,10,6
2025-11-20 13:22:43.000,10,1390
2025-11-20 13:22:43.001,10,1390
2025-11-20 13:22:45.752,0,2
2025-11-20 13:22:45.757,0,6
2025-11-20 13:22:45.757,0,6
2025-11-20 13:22:45.758,9,5
2025-11-20 13:22:45.758,9,5
2025-11-20 13:22:45.758,9,5
2025-11-20 13:22:45.758,9,5
2025-11-20 13:22:45.758,9,4
2025-11-20 13:22:47.001,9,1247
2025-11-20 13:22:47.001,9,1246
2025-11-20 13:22:49.952,0,2
2025-11-20 13:22:49.953,0,2
2025-11-20 13:22:49.953,0,2
2025-11-20 13:22:49.953,0,2
2025-11-20 13:22:49.955,0,3
2025-11-20 13:22:49.955,0,3
2025-11-20 13:22:49.955,0,3
2025-11-20 13:22:49.955,0,3
2025-11-20 13:22:51.001,0,1049
2025-11-20 13:22:51.002,0,1049
2025-11-20 13:22:55.499,0,2
2025-11-20 13:22:55.501,4,3
2025-11-20 13:22:55.502,4,3
2025-11-20 13:22:55.502,4,3
2025-11-20 13:22:55.502,4,3
2025-11-20 13:22:55.502,4,3
2025-11-20 13:22:55.502,4,3
2025-11-20 13:22:55.503,4,3
2025-11-20 13:22:57.001,6,1502
2025-11-20 13:22:57.002,6,1502
2025-11-20 13:22:57.002,6,57
2025-11-20 13:22:57.002,6,57
2025-11-20 13:22:57.002,6,56
2025-11-20 13:22:57.003,6,56
2025-11-20 13:22:57.003,6,56
2025-11-20 13:22:57.003,6,57
2025-11-20 13:22:58.000,6,1053
2025-11-20 13:22:58.001,6,1053
2025-11-20 13:22:58.001,6,1053
2025-11-20 13:22:58.002,6,1054
2025-11-20 13:22:59.676,12,3
2025-11-20 13:22:59.677,12,4
2025-11-20 13:22:59.678,12,3
2025-11-20 13:22:59.679,8,2
2025-11-20 13:22:59.681,10,5
2025-11-20 13:22:59.682,10,4
2025-11-20 13:22:59.682,10,4
2025-11-20 13:22:59.682,10,5
2025-11-20 13:23:01.000,10,1323
2025-11-20 13:23:01.001,10,1323
2025-11-20 13:23:01.084,10,4
2025-11-20 13:23:01.086,10,5
2025-11-20 13:23:01.087,7,5
2025-11-20 13:23:01.087,7,4
2025-11-20 13:23:01.090,7,4
2025-11-20 13:23:01.091,7,7
2025-11-20 13:23:02.001,7,917
2025-11-20 13:23:02.001,7,917
2025-11-20 13:23:02.002,7,917
2025-11-20 13:23:02.002,7,918
2025-11-20 13:23:02.002,7,839
2025-11-20 13:23:02.002,7,839
2025-11-20 13:23:02.003,7,838
2025-11-20 13:23:02.003,7,838
2025-11-20 13:23:03.000,11,1835
2025-11-20 13:23:03.000,11,1835
2025-11-20 13:23:03.001,11,1834
2025-11-20 13:23:03.001,11,1834
2025-11-20 13:23:03.001,11,1834
2025-11-20 13:23:03.001,11,1834
2025-11-20 13:23:03.002,11,535
2025-11-20 13:23:03.002,11,535
2025-11-20 13:23:04.000,85,1533
2025-11-20 13:23:04.000,85,1532
2025-11-20 13:23:04.001,85,1531
2025-11-20 13:23:04.001,85,1532
2025-11-20 13:23:04.001,85,1531
2025-11-20 13:23:04.002,85,1531
2025-11-20 13:23:04.002,85,1531
2025-11-20 13:23:04.002,85,1530
2025-11-20 13:23:05.000,85,2462
2025-11-20 13:23:05.001,85,2462
2025-11-20 13:23:05.001,85,2461
2025-11-20 13:23:05.001,85,2462
2025-11-20 13:23:05.001,85,2461
2025-11-20 13:23:05.002,85,2461
2025-11-20 13:23:05.002,85,2459
2025-11-20 13:23:05.002,85,2459
2025-11-20 13:23:06.001,111,3458
2025-11-20 13:23:06.001,111,3458
2025-11-20 13:23:06.001,111,3400
2025-11-20 13:23:06.002,111,3399
2025-11-20 13:23:06.002,111,3399
2025-11-20 13:23:06.002,111,3399
2025-11-20 13:23:06.002,111,3399
2025-11-20 13:23:06.003,111,3398
2025-11-20 13:23:07.001,148,4397
2025-11-20 13:23:07.001,148,4396
2025-11-20 13:23:07.002,148,4396
2025-11-20 13:23:07.002,148,4396
2025-11-20 13:23:07.002,148,4336
2025-11-20 13:23:07.002,148,4335
2025-11-20 13:23:07.003,148,4335
2025-11-20 13:23:07.003,148,4336
