timestamp,actual_rate,current_sample_rate,delta,encode_cost_ms,sample_cost_ms
1761890957,0.100000,0.100000,0.000000,0.00,4.50
1761890960,0.100000,0.100000,0.000000,0.00,5.00
1761890963,0.100000,0.100000,0.000000,0.00,4.25
1761890966,0.100000,0.100000,0.000000,0.00,4.20
1761890969,0.100000,0.100000,0.000000,0.00,4.00
1761890972,0.100000,0.100000,0.000000,0.00,4.75
1761890975,0.100000,0.100000,0.000000,0.00,4.50
1761890978,0.100000,0.100000,0.000000,0.00,4.42
1761890981,0.100000,0.100000,0.000000,0.00,4.00
1761890984,0.100000,0.100000,0.000000,0.00,3.82
1761890987,0.100000,0.100000,0.000000,0.00,3.80
1761890990,0.100000,0.100000,0.000000,0.00,3.86
1761890993,0.100000,0.100000,0.000000,0.00,3.80
1761890996,0.100000,0.097143,-0.002857,0.00,3.74
1761890999,0.098611,0.094214,-0.002929,0.00,3.67
1761891002,0.097381,0.090317,-0.003897,0.01,3.48
1761891005,0.096596,0.086299,-0.004019,0.01,3.36
1761891008,0.095000,0.083424,-0.002875,0.01,3.25
1761891011,0.093448,0.080866,-0.002558,0.01,3.26
1761891014,0.091818,0.077643,-0.003224,0.01,3.20
1761891017,0.089200,0.074678,-0.002965,0.01,3.03
1761891020,0.087143,0.071711,-0.002967,0.01,2.94
1761891023,0.085484,0.068714,-0.002996,0.01,2.90
1761891026,0.083235,0.066337,-0.002378,0.01,2.77
1761891029,0.081351,0.064308,-0.002029,0.01,2.71
1761891032,0.079750,0.062492,-0.001816,0.01,2.63
1761891035,0.078372,0.060803,-0.001689,0.01,2.52
1761891038,0.077174,0.059189,-0.001614,0.01,2.44
1761891041,0.075510,0.058007,-0.001183,0.01,2.36
1761891044,0.074038,0.057077,-0.000929,0.01,2.31
1761891047,0.072727,0.056305,-0.000772,0.01,2.25
1761891050,0.071552,0.055619,-0.000686,0.01,2.18
1761891053,0.070833,0.055349,-0.000270,0.01,2.14
1761891056,0.069841,0.054980,-0.000369,0.01,2.13
1761891059,0.068939,0.054528,-0.000452,0.01,2.09
1761891062,0.068116,0.054000,-0.000528,0.01,2.05
1761891065,0.067361,0.053404,-0.000596,0.01,2.02
1761891068,0.066667,0.052750,-0.000655,0.01,2.00
1761891071,0.066026,0.052046,-0.000704,0.01,1.98
1761891074,0.065496,0.051402,-0.000644,0.01,1.96
1761891077,0.065060,0.050895,-0.000507,0.01,1.95
1761891080,0.064648,0.050487,-0.000408,0.02,1.95
1761891083,0.064205,0.050051,-0.000436,0.02,1.92
1761891086,0.063838,0.049683,-0.000368,0.02,1.90
1761891089,0.063237,0.049514,-0.000169,0.02,1.89
1761891092,0.062667,0.049487,-0.000026,0.02,1.87
1761891095,0.062199,0.049648,0.000161,0.02,1.84
1761891098,0.061824,0.050038,0.000390,0.02,1.83
1761891101,0.061667,0.050594,0.000557,0.02,1.82
1761891104,0.061475,0.051180,0.000585,0.02,1.81
1761891107,0.061290,0.051786,0.000606,0.02,1.80
1761891110,0.061111,0.052412,0.000626,0.02,1.79
1761891113,0.060937,0.053047,0.000636,0.02,1.79
1761891116,0.060836,0.053937,0.000889,0.02,1.78
1761891119,0.060736,0.055038,0.001101,0.02,1.77
1761891122,0.060638,0.056332,0.001294,0.02,1.77
1761891125,0.060542,0.057802,0.001470,0.02,1.77
1761891128,0.060448,0.059437,0.001635,0.02,1.76
1761891131,0.060355,0.061230,0.001793,0.02,1.75
1761891134,0.060353,0.063286,0.002056,0.02,1.75
1761891137,0.060350,0.065374,0.002088,0.02,1.76
1761891140,0.060348,0.067754,0.002380,0.02,1.76
1761891143,0.060345,0.070168,0.002414,0.02,1.75
1761891146,0.060400,0.072828,0.002661,0.02,1.76
1761891149,0.060455,0.075751,0.002923,0.02,1.76
1761891152,0.060535,0.078593,0.002842,0.02,1.75
1761891155,0.060562,0.082177,0.003583,0.02,1.76
1761891158,0.060670,0.085958,0.003781,0.02,1.75
1761891161,0.060724,0.091154,0.005196,0.02,1.75
1761891164,0.060806,0.097167,0.006012,0.02,1.75
1761891167,0.060886,0.104136,0.006969,0.02,1.75
1761891170,0.060994,0.112136,0.008001,0.02,1.75
1761891173,0.061264,0.119919,0.007783,0.02,1.76
1761891176,0.061397,0.129106,0.009186,0.02,1.76
1761891179,0.061557,0.139832,0.010727,0.02,1.77
1761891182,0.061744,0.150585,0.010753,0.02,1.78
1761891185,0.061984,0.164952,0.014367,0.02,1.78
1761891188,0.062514,0.177335,0.012383,0.02,1.80
1761891191,0.062803,0.191699,0.014364,0.02,1.81
1761891194,0.063145,0.207859,0.016160,0.02,1.82
1761891197,0.063512,0.225942,0.018083,0.02,1.83
1761891200,0.063930,0.242064,0.016122,0.02,1.84
1761891203,0.064867,0.253849,0.011785,0.02,1.88
1761891206,0.065358,0.266477,0.012628,0.02,1.89
1761891209,0.065873,0.279620,0.013143,0.02,1.90
1761891212,0.066412,0.292964,0.013344,0.02,1.93
1761891215,0.067000,0.301907,0.008943,0.02,1.97
1761891218,0.068220,0.302889,0.000982,0.02,2.05
1761891221,0.068825,0.300996,-0.001892,0.02,2.11
1761891224,0.069427,0.302107,0.001111,0.02,2.13
1761891227,0.070026,0.303098,0.000991,0.02,2.17
1761891230,0.070622,0.301134,-0.001964,0.02,2.19
1761891233,0.071804,0.291687,-0.009447,0.02,2.23
1761891236,0.072365,0.283526,-0.008161,0.02,2.26
1761891239,0.072897,0.276670,-0.006856,0.02,2.27
1761891242,0.073402,0.271194,-0.005476,0.02,2.29
1761891245,0.073903,0.266923,-0.004271,0.02,2.31
1761891248,0.074848,0.260267,-0.006656,0.02,2.36
1761891251,0.075316,0.253369,-0.006898,0.02,2.37
1761891254,0.075758,0.250081,-0.003288,0.02,2.38
1761891257,0.076196,0.248181,-0.001899,0.02,2.40
1761891260,0.076608,0.245733,-0.002448,0.02,2.42
1761891263,0.077425,0.239827,-0.005906,0.02,2.45
1761891266,0.077805,0.235921,-0.003906,0.02,2.46
1761891269,0.078184,0.233766,-0.002155,0.02,2.48
1761891272,0.078561,0.233230,-0.000536,0.02,2.51
1761891275,0.078936,0.234211,0.000980,0.02,2.51
1761891278,0.079680,0.231515,-0.002696,0.02,2.54
1761891281,0.080049,0.230531,-0.000983,0.02,2.55
1761891284,0.080417,0.233202,0.002670,0.02,2.55
1761891287,0.080782,0.235024,0.001822,0.02,2.60
1761891290,0.081146,0.240704,0.005680,0.02,2.61
1761891293,0.081917,0.238955,-0.001749,0.02,2.63
1761891296,0.082276,0.238963,0.000008,0.02,2.64
1761891299,0.082633,0.240563,0.001600,0.02,2.65
1761891302,0.083012,0.245904,0.005340,0.02,2.67
1761891305,0.083389,0.249791,0.003887,0.02,2.68
1761891308,0.084139,0.250658,0.000867,0.02,2.69
1761891311,0.084535,0.250435,-0.000223,0.02,2.71
1761891314,0.084929,0.253884,0.003449,0.02,2.73
1761891317,0.085321,0.255777,0.001892,0.02,2.75
1761891320,0.085711,0.261501,0.005725,0.02,2.76
1761891323,0.086533,0.257837,-0.003664,0.02,2.78
1761891326,0.086918,0.255773,-0.002065,0.02,2.79
1761891329,0.087300,0.257491,0.001719,0.02,2.82
1761891332,0.087681,0.260386,0.002895,0.02,2.83
1761891335,0.088084,0.261413,0.001027,0.02,2.85
1761891338,0.088884,0.262014,0.000601,0.02,2.87
1761891341,0.089281,0.260011,-0.002003,0.02,2.90
1761891344,0.089676,0.256824,-0.003187,0.02,2.92
1761891347,0.090046,0.255034,-0.001790,0.02,2.94
1761891350,0.090415,0.254552,-0.000482,0.02,2.95
1761891353,0.090782,0.257859,0.003306,0.02,2.97
1761891356,0.091147,0.262196,0.004338,0.02,2.98
1761891359,0.091918,0.259035,-0.003161,0.02,3.00
1761891362,0.092278,0.257469,-0.001566,0.02,3.01
1761891365,0.092636,0.257224,-0.000246,0.02,3.02
1761891368,0.092993,0.258187,0.000964,0.02,3.03
1761891371,0.093348,0.260263,0.002076,0.02,3.04
1761891374,0.094099,0.255008,-0.005256,0.02,3.07
1761891377,0.094449,0.251385,-0.003623,0.02,3.09
1761891380,0.094798,0.249058,-0.002327,0.02,3.09
1761891383,0.095123,0.248211,-0.000847,0.02,3.11
1761891386,0.095446,0.248702,0.000492,0.02,3.11
1761891389,0.096089,0.240938,-0.007765,0.02,3.14
1761891392,0.096408,0.234952,-0.005986,0.02,3.16
1761891395,0.096998,0.226393,-0.008558,0.02,3.17
1761891398,0.097807,0.210580,-0.015813,0.02,3.20
1761891401,0.098540,0.191039,-0.019542,0.02,3.22
1761891404,0.099134,0.170237,-0.020801,0.02,3.23
1761891407,0.099591,0.149600,-0.020637,0.02,3.24
1761891410,0.099850,0.130075,-0.019525,0.02,3.25
1761891413,0.100042,0.112197,-0.017878,0.02,3.25
1761891416,0.100147,0.095921,-0.016276,0.02,3.24
1761891419,0.100021,0.082179,-0.013742,0.02,3.23
1761891422,0.099775,0.071042,-0.011137,0.02,3.22
1761891425,0.099413,0.062473,-0.008570,0.02,3.20
1761891428,0.098940,0.056343,-0.006130,0.02,3.18
1761891431,0.098360,0.052475,-0.003868,0.02,3.16
1761891434,0.097793,0.050283,-0.002192,0.02,3.14
1761891437,0.097515,0.049527,-0.000756,0.02,3.13
1761891440,0.097181,0.050229,0.000702,0.02,3.12
1761891443,0.096910,0.051918,0.001689,0.02,3.10
1761891446,0.096641,0.054474,0.002556,0.02,3.10
1761891449,0.096376,0.057773,0.003298,0.02,3.09
1761891452,0.096113,0.061706,0.003934,0.02,3.08
1761891455,0.095977,0.065877,0.004170,0.02,3.08
1761891458,0.095910,0.072489,0.006612,0.02,3.08
1761891461,0.095861,0.080389,0.007901,0.02,3.07
1761891464,0.095802,0.087644,0.007255,0.02,3.07
1761891467,0.095773,0.096447,0.008804,0.02,3.07
1761891470,0.095762,0.106942,0.010495,0.02,3.07
1761891473,0.095770,0.120889,0.013946,0.02,3.07
1761891476,0.095815,0.135013,0.014124,0.02,3.07
1761891479,0.095941,0.147591,0.012579,0.02,3.08
1761891482,0.096022,0.162843,0.015252,0.02,3.09
1761891485,0.096140,0.183731,0.020888,0.02,3.09
1761891488,0.096294,0.200298,0.016567,0.02,3.10
1761891491,0.096484,0.227089,0.026791,0.02,3.10
1761891494,0.096934,0.239108,0.012019,0.02,3.11
1761891497,0.097177,0.256848,0.017740,0.02,3.12
1761891500,0.097455,0.275135,0.018287,0.02,3.13
1761891503,0.097768,0.287792,0.012657,0.02,3.14
1761891506,0.098098,0.303941,0.016149,0.02,3.15
1761891509,0.098827,0.298972,-0.004970,0.02,3.18
