timestamp,rate
2025-11-03 18:28:13.047,26
2025-11-03 18:28:14.047,30
2025-11-03 18:28:15.047,48
2025-11-03 18:28:16.047,26
2025-11-03 18:28:17.047,32
2025-11-03 18:28:18.047,22
2025-11-03 18:28:19.047,20
2025-11-03 18:28:20.047,28
2025-11-03 18:28:21.047,30
2025-11-03 18:28:22.047,28
2025-11-03 18:28:23.047,50
2025-11-03 18:28:24.047,28
2025-11-03 18:28:25.047,20
2025-11-03 18:28:26.047,16
2025-11-03 18:28:27.047,16
2025-11-03 18:28:28.047,24
2025-11-03 18:28:29.047,8
2025-11-03 18:28:30.047,36
2025-11-03 18:28:31.047,14
2025-11-03 18:28:32.047,12
2025-11-03 18:28:33.047,10
2025-11-03 18:28:34.048,26
2025-11-03 18:28:35.047,32
2025-11-03 18:28:36.047,16
2025-11-03 18:28:37.047,42
2025-11-03 18:28:38.047,34
2025-11-03 18:28:39.047,12
2025-11-03 18:28:40.047,10
2025-11-03 18:28:41.047,28
2025-11-03 18:28:42.047,30
2025-11-03 18:28:43.047,56
2025-11-03 18:28:44.047,64
2025-11-03 18:28:45.047,34
2025-11-03 18:28:46.047,42
2025-11-03 18:28:47.047,40
2025-11-03 18:28:48.047,48
2025-11-03 18:28:49.047,20
2025-11-03 18:28:50.047,38
2025-11-03 18:28:51.047,50
2025-11-03 18:28:52.047,52
2025-11-03 18:28:53.047,50
2025-11-03 18:28:54.047,30
2025-11-03 18:28:55.047,40
2025-11-03 18:28:56.047,36
2025-11-03 18:28:57.047,40
2025-11-03 18:28:58.047,40
2025-11-03 18:28:59.047,52
2025-11-03 18:29:00.047,72
2025-11-03 18:29:01.047,20
2025-11-03 18:29:02.047,18
2025-11-03 18:29:03.047,20
2025-11-03 18:29:04.047,18
2025-11-03 18:29:05.047,16
2025-11-03 18:29:06.047,24
2025-11-03 18:29:07.047,18
2025-11-03 18:29:08.047,12
2025-11-03 18:29:09.047,38
2025-11-03 18:29:10.047,28
2025-11-03 18:29:11.047,64
2025-11-03 18:29:12.047,56
2025-11-03 18:29:13.047,58
2025-11-03 18:29:14.047,152
2025-11-03 18:29:15.047,510
2025-11-03 18:29:16.047,424
2025-11-03 18:29:17.047,304
2025-11-03 18:29:18.047,168
2025-11-03 18:29:19.047,162
2025-11-03 18:29:20.047,128
2025-11-03 18:29:21.047,78
2025-11-03 18:29:22.047,64
2025-11-03 18:29:23.047,124
2025-11-03 18:29:24.047,150
2025-11-03 18:29:25.047,232
2025-11-03 18:29:26.047,230
2025-11-03 18:29:27.047,260
2025-11-03 18:29:28.047,276
2025-11-03 18:29:29.047,208
2025-11-03 18:29:30.047,218
2025-11-03 18:29:31.047,270
2025-11-03 18:29:32.047,332
2025-11-03 18:29:33.047,334
2025-11-03 18:29:34.047,182
2025-11-03 18:29:35.047,242
2025-11-03 18:29:36.047,282
2025-11-03 18:29:37.047,340
2025-11-03 18:29:38.047,308
2025-11-03 18:29:39.047,368
2025-11-03 18:29:40.047,182
2025-11-03 18:29:41.047,208
2025-11-03 18:29:42.047,210
2025-11-03 18:29:43.047,308
2025-11-03 18:29:44.047,500
2025-11-03 18:29:45.047,354
2025-11-03 18:29:46.047,318
2025-11-03 18:29:47.047,396
2025-11-03 18:29:48.047,352
2025-11-03 18:29:49.047,312
2025-11-03 18:29:50.047,224
2025-11-03 18:29:51.047,220
2025-11-03 18:29:52.047,276
2025-11-03 18:29:53.047,254
2025-11-03 18:29:54.047,154
2025-11-03 18:29:55.047,80
2025-11-03 18:29:56.047,130
2025-11-03 18:29:57.047,124
2025-11-03 18:29:58.047,184
2025-11-03 18:29:59.047,346
2025-11-03 18:30:00.047,134
2025-11-03 18:30:01.047,86
2025-11-03 18:30:02.047,120
2025-11-03 18:30:03.047,208
2025-11-03 18:30:04.047,154
2025-11-03 18:30:05.047,150
2025-11-03 18:30:06.047,182
2025-11-03 18:30:07.047,104
2025-11-03 18:30:08.047,132
2025-11-03 18:30:09.048,88
2025-11-03 18:30:10.047,82
2025-11-03 18:30:11.047,44
2025-11-03 18:30:12.047,54
2025-11-03 18:30:13.047,86
2025-11-03 18:30:14.047,26
2025-11-03 18:30:15.047,78
2025-11-03 18:30:16.047,64
2025-11-03 18:30:17.047,52
2025-11-03 18:30:18.047,24
2025-11-03 18:30:19.047,42
2025-11-03 18:30:20.047,60
2025-11-03 18:30:21.047,76
2025-11-03 18:30:22.047,50
2025-11-03 18:30:23.047,38
2025-11-03 18:30:24.047,30
2025-11-03 18:30:25.047,58
2025-11-03 18:30:26.047,24
2025-11-03 18:30:27.047,32
2025-11-03 18:30:28.047,38
2025-11-03 18:30:29.047,58
2025-11-03 18:30:30.047,40
2025-11-03 18:30:31.047,28
2025-11-03 18:30:32.047,58
2025-11-03 18:30:33.047,56
2025-11-03 18:30:34.047,48
2025-11-03 18:30:35.047,34
2025-11-03 18:30:36.047,26
2025-11-03 18:30:37.047,50
2025-11-03 18:30:38.047,44
2025-11-03 18:30:39.047,60
2025-11-03 18:30:40.047,36
2025-11-03 18:30:41.047,46
2025-11-03 18:30:42.047,60
2025-11-03 18:30:43.047,52
2025-11-03 18:30:44.047,54
2025-11-03 18:30:45.047,48
2025-11-03 18:30:46.047,44
2025-11-03 18:30:47.047,42
2025-11-03 18:30:48.047,38
2025-11-03 18:30:49.047,104
2025-11-03 18:30:50.047,108
2025-11-03 18:30:51.047,62
2025-11-03 18:30:52.047,180
2025-11-03 18:30:53.047,140
2025-11-03 18:30:54.047,44
2025-11-03 18:30:55.047,50
2025-11-03 18:30:56.047,86
2025-11-03 18:30:57.047,102
2025-11-03 18:30:58.047,44
2025-11-03 18:30:59.047,52
2025-11-03 18:31:00.047,58
2025-11-03 18:31:01.047,100
2025-11-03 18:31:02.047,70
2025-11-03 18:31:03.047,50
2025-11-03 18:31:04.047,44
2025-11-03 18:31:05.047,32
2025-11-03 18:31:06.047,56
2025-11-03 18:31:07.047,44
2025-11-03 18:31:08.047,64
2025-11-03 18:31:09.047,46
2025-11-03 18:31:10.047,46
2025-11-03 18:31:11.047,60
2025-11-03 18:31:12.047,66
2025-11-03 18:31:13.047,70
2025-11-03 18:31:14.047,54
2025-11-03 18:31:15.047,60
2025-11-03 18:31:16.047,58
2025-11-03 18:31:17.047,84
2025-11-03 18:31:18.047,68
2025-11-03 18:31:19.047,60
2025-11-03 18:31:20.047,46
2025-11-03 18:31:21.047,54
2025-11-03 18:31:22.047,44
2025-11-03 18:31:23.047,174
2025-11-03 18:31:24.047,152
2025-11-03 18:31:25.046,156
2025-11-03 18:31:26.047,156
2025-11-03 18:31:27.047,124
2025-11-03 18:31:28.047,146
2025-11-03 18:31:29.047,84
2025-11-03 18:31:30.048,44
2025-11-03 18:31:31.047,110
2025-11-03 18:31:32.047,26
2025-11-03 18:31:33.047,46
2025-11-03 18:31:34.047,58
2025-11-03 18:31:35.047,68
2025-11-03 18:31:36.047,84
2025-11-03 18:31:37.047,44
2025-11-03 18:31:38.047,76
2025-11-03 18:31:39.047,46
2025-11-03 18:31:40.047,62
2025-11-03 18:31:41.047,54
2025-11-03 18:31:42.047,38
2025-11-03 18:31:43.047,64
2025-11-03 18:31:44.047,66
2025-11-03 18:31:45.047,102
2025-11-03 18:31:46.047,28
2025-11-03 18:31:47.047,50
2025-11-03 18:31:48.047,54
2025-11-03 18:31:49.047,52
2025-11-03 18:31:50.047,62
2025-11-03 18:31:51.047,40
2025-11-03 18:31:52.047,60
2025-11-03 18:31:53.047,36
2025-11-03 18:31:54.047,50
2025-11-03 18:31:55.047,42
2025-11-03 18:31:56.047,62
2025-11-03 18:31:57.047,124
2025-11-03 18:31:58.047,74
2025-11-03 18:31:59.047,56
2025-11-03 18:32:00.047,132
2025-11-03 18:32:01.047,74
2025-11-03 18:32:02.047,92
2025-11-03 18:32:03.047,88
2025-11-03 18:32:04.047,82
2025-11-03 18:32:05.047,82
2025-11-03 18:32:06.047,124
2025-11-03 18:32:07.047,86
2025-11-03 18:32:08.047,56
2025-11-03 18:32:09.047,60
2025-11-03 18:32:10.047,82
2025-11-03 18:32:11.047,100
2025-11-03 18:32:12.047,80
2025-11-03 18:32:13.047,94
2025-11-03 18:32:14.047,86
2025-11-03 18:32:15.047,54
2025-11-03 18:32:16.047,92
2025-11-03 18:32:17.047,80
2025-11-03 18:32:18.047,90
2025-11-03 18:32:19.047,56
2025-11-03 18:32:20.047,56
2025-11-03 18:32:21.047,30
2025-11-03 18:32:22.047,60
2025-11-03 18:32:23.047,68
2025-11-03 18:32:24.047,58
2025-11-03 18:32:25.047,62
2025-11-03 18:32:26.046,46
2025-11-03 18:32:27.047,82
2025-11-03 18:32:28.047,46
2025-11-03 18:32:29.047,58
2025-11-03 18:32:30.047,26
2025-11-03 18:32:31.047,38
2025-11-03 18:32:32.047,24
2025-11-03 18:32:33.047,42
2025-11-03 18:32:34.047,58
2025-11-03 18:32:35.047,30
2025-11-03 18:32:36.047,58
2025-11-03 18:32:37.047,38
2025-11-03 18:32:38.047,40
2025-11-03 18:32:39.047,26
2025-11-03 18:32:40.047,62
2025-11-03 18:32:41.047,32
2025-11-03 18:32:42.047,140
2025-11-03 18:32:43.047,38
2025-11-03 18:32:44.047,46
2025-11-03 18:32:45.047,48
2025-11-03 18:32:46.048,42
2025-11-03 18:32:47.047,66
2025-11-03 18:32:48.047,36
2025-11-03 18:32:49.047,48
2025-11-03 18:32:50.047,52
2025-11-03 18:32:51.047,38
2025-11-03 18:32:52.047,32
2025-11-03 18:32:53.047,50
2025-11-03 18:32:54.047,24
2025-11-03 18:32:55.047,42
2025-11-03 18:32:56.047,34
2025-11-03 18:32:57.047,16
2025-11-03 18:32:58.047,68
2025-11-03 18:32:59.047,22
2025-11-03 18:33:00.047,90
2025-11-03 18:33:01.047,14
2025-11-03 18:33:02.047,22
2025-11-03 18:33:03.047,20
2025-11-03 18:33:04.047,20
2025-11-03 18:33:05.047,64
2025-11-03 18:33:06.047,22
2025-11-03 18:33:07.047,22
2025-11-03 18:33:08.047,20
2025-11-03 18:33:09.047,48
2025-11-03 18:33:10.047,12
2025-11-03 18:33:11.047,22
2025-11-03 18:33:12.047,22
2025-11-03 18:33:13.047,18
2025-11-03 18:33:14.046,14
2025-11-03 18:33:15.047,8
2025-11-03 18:33:16.047,10
2025-11-03 18:33:17.047,16
2025-11-03 18:33:18.047,22
2025-11-03 18:33:19.047,20
2025-11-03 18:33:20.047,34
2025-11-03 18:33:21.047,22
2025-11-03 18:33:22.047,16
2025-11-03 18:33:23.047,6
2025-11-03 18:33:24.047,26
2025-11-03 18:33:25.047,12
2025-11-03 18:33:26.047,28
2025-11-03 18:33:27.047,8
2025-11-03 18:33:28.047,18
2025-11-03 18:33:29.047,12
2025-11-03 18:33:30.047,24
2025-11-03 18:33:31.047,20
2025-11-03 18:33:32.047,24
2025-11-03 18:33:33.047,24
2025-11-03 18:33:34.047,16
2025-11-03 18:33:35.047,32
2025-11-03 18:33:36.047,30
2025-11-03 18:33:37.047,42
2025-11-03 18:33:38.047,34
2025-11-03 18:33:39.047,14
2025-11-03 18:33:40.047,18
2025-11-03 18:33:41.047,14
2025-11-03 18:33:42.047,40
2025-11-03 18:33:43.047,26
2025-11-03 18:33:44.047,36
2025-11-03 18:33:45.047,20
2025-11-03 18:33:46.047,52
2025-11-03 18:33:47.048,38
2025-11-03 18:33:48.047,22
2025-11-03 18:33:49.047,38
2025-11-03 18:33:50.047,36
2025-11-03 18:33:51.047,22
2025-11-03 18:33:52.047,34
2025-11-03 18:33:53.047,28
2025-11-03 18:33:54.047,24
2025-11-03 18:33:55.047,34
2025-11-03 18:33:56.048,16
2025-11-03 18:33:57.047,20
2025-11-03 18:33:58.047,32
2025-11-03 18:33:59.047,32
2025-11-03 18:34:00.047,22
2025-11-03 18:34:01.047,74
2025-11-03 18:34:02.047,26
2025-11-03 18:34:03.047,22
2025-11-03 18:34:04.048,18
2025-11-03 18:34:05.047,14
2025-11-03 18:34:06.048,22
