timestamp,rate
2025-09-19 17:16:48.960,20
2025-09-19 17:16:49.960,20
2025-09-19 17:16:50.960,20
2025-09-19 17:16:51.961,20
2025-09-19 17:16:52.961,20
2025-09-19 17:16:53.961,20
2025-09-19 17:16:54.960,20
2025-09-19 17:16:55.961,20
2025-09-19 17:16:56.961,20
2025-09-19 17:16:57.961,20
2025-09-19 17:16:59.335,40
2025-09-19 17:17:00.335,40
2025-09-19 17:17:01.335,40
2025-09-19 17:17:02.334,40
2025-09-19 17:17:03.334,40
2025-09-19 17:17:04.335,40
2025-09-19 17:17:05.334,40
2025-09-19 17:17:06.335,40
2025-09-19 17:17:07.335,40
2025-09-19 17:17:08.334,40
2025-09-19 17:17:09.902,60
2025-09-19 17:17:10.985,60
2025-09-19 17:17:12.052,60
2025-09-19 17:17:12.903,60
2025-09-19 17:17:13.903,60
2025-09-19 17:17:15.054,60
2025-09-19 17:17:15.943,60
2025-09-19 17:17:16.903,60
2025-09-19 17:17:17.929,60
2025-09-19 17:17:18.997,60
2025-09-19 17:17:20.976,90
2025-09-19 17:17:22.128,90
2025-09-19 17:17:23.315,90
2025-09-19 17:17:24.775,90
2025-09-19 17:17:26.094,90
2025-09-19 17:17:27.320,90
2025-09-19 17:17:28.828,90
2025-09-19 17:17:30.194,90
2025-09-19 17:17:31.779,90
2025-09-19 17:17:32.658,90
2025-09-19 17:17:35.454,100
2025-09-19 17:17:36.946,100
2025-09-19 17:17:38.578,100
2025-09-19 17:17:40.150,100
2025-09-19 17:17:41.745,100
2025-09-19 17:17:43.418,100
2025-09-19 17:17:44.838,100
2025-09-19 17:17:45.870,100
2025-09-19 17:17:47.048,100
2025-09-19 17:17:48.696,100
2025-09-19 17:17:51.550,80
2025-09-19 17:17:52.676,80
2025-09-19 17:17:54.032,80
2025-09-19 17:17:55.231,80
2025-09-19 17:17:56.498,80
2025-09-19 17:17:57.583,80
2025-09-19 17:17:59.036,80
2025-09-19 17:18:00.209,80
2025-09-19 17:18:01.042,80
2025-09-19 17:18:02.051,80
2025-09-19 17:18:04.319,50
2025-09-19 17:18:05.319,50
2025-09-19 17:18:06.318,50
2025-09-19 17:18:07.318,50
2025-09-19 17:18:08.318,50
2025-09-19 17:18:09.318,50
2025-09-19 17:18:10.326,50
2025-09-19 17:18:11.319,50
2025-09-19 17:18:12.318,50
2025-09-19 17:18:13.319,50
2025-09-19 17:18:15.030,30
2025-09-19 17:18:16.030,30
2025-09-19 17:18:17.030,30
2025-09-19 17:18:18.030,30
2025-09-19 17:18:19.030,30
2025-09-19 17:18:20.030,30
2025-09-19 17:18:21.030,30
2025-09-19 17:18:22.031,30
2025-09-19 17:18:23.030,30
2025-09-19 17:18:24.030,30
2025-09-19 17:18:25.621,20
2025-09-19 17:18:26.621,20
2025-09-19 17:18:27.621,20
2025-09-19 17:18:28.621,20
2025-09-19 17:18:29.621,20
